"product_id","product_name","source_url","image_index","image_url","local_path"
"28746690","TSUKUBA WINERY Logo Tote Bag","https://twinpeaks.buyshop.jp/items/28746690","1","https://baseec-img-mng.akamaized.net/images/item/origin/d3e1c3f3e792dc9f69aec3a7e8d96e4b.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\28746690_TSUKUBA_WINERY_Logo_Tote_Bag\28746690_01.jpg"
"28746690","TSUKUBA WINERY Logo Tote Bag","https://twinpeaks.buyshop.jp/items/28746690","2","https://baseec-img-mng.akamaized.net/images/item/origin/49a516fa4bd18f99327b2c7f69c4c792.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\28746690_TSUKUBA_WINERY_Logo_Tote_Bag\28746690_02.jpg"
"2944167","Twin Peaks Red 2015","https://twinpeaks.buyshop.jp/items/2944167","1","https://baseec-img-mng.akamaized.net/images/item/origin/f221489b10319608b30a256601ca4269.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\2944167_Twin_Peaks_Red_2015\2944167_01.jpg"
"75176440","2021 SPARKLING ROSE","https://twinpeaks.buyshop.jp/items/75176440","1","https://baseec-img-mng.akamaized.net/images/item/origin/c2c03f94ac9364bcdb39993d0eebb5b0.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\75176440_2021_SPARKLING_ROSE\75176440_01.jpg"
"76674270","2022 ROSE","https://twinpeaks.buyshop.jp/items/76674270","1","https://baseec-img-mng.akamaized.net/images/item/origin/eb65e7f26b5ac6e04f835f152b68ddee.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\76674270_2022_ROSE\76674270_01.jpg"
"7682628","Twin Peaks Red 2016","https://twinpeaks.buyshop.jp/items/7682628","1","https://baseec-img-mng.akamaized.net/images/item/origin/bb0e7e87a7bdbb77394af899a72059db.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\7682628_Twin_Peaks_Red_2016\7682628_01.jpg"
"77512311","2022 TSUKUBA BLANC Premium","https://twinpeaks.buyshop.jp/items/77512311","1","https://baseec-img-mng.akamaized.net/images/item/origin/3e9e3c49ea9cb747d34e594f102a34bf.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\77512311_2022_TSUKUBA_BLANC_Premium\77512311_01.jpg"
"79301835","2022 TSUKUBA ROUGE Premium","https://twinpeaks.buyshop.jp/items/79301835","1","https://baseec-img-mng.akamaized.net/images/item/origin/bac9f50448a3ae6b6f399a28773e5405.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\79301835_2022_TSUKUBA_ROUGE_Premium\79301835_01.jpg"
"81298044","2021 MUSCAT BAILEY A","https://twinpeaks.buyshop.jp/items/81298044","1","https://baseec-img-mng.akamaized.net/images/item/origin/f90f369b52e95b5447b9e3eba83f4b36.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\81298044_2021_MUSCAT_BAILEY_A\81298044_01.jpg"
"86069780","2023 TSUKUBA BLANC","https://twinpeaks.buyshop.jp/items/86069780","1","https://baseec-img-mng.akamaized.net/images/item/origin/1e3f442227fc4532ec8eff85e6805eac.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\86069780_2023_TSUKUBA_BLANC\86069780_01.jpg"
"9162710","Gift box for 1 bottle","https://twinpeaks.buyshop.jp/items/9162710","1","https://baseec-img-mng.akamaized.net/images/item/origin/a9e0e838e454edd7743677cdedb02bc1.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\9162710_Gift_box_for_1_bottle\9162710_01.jpg"
"9162738","Gift box for 2 bottles","https://twinpeaks.buyshop.jp/items/9162738","1","https://baseec-img-mng.akamaized.net/images/item/origin/c951eeab584358d31fc11cce95cddbec.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\9162738_Gift_box_for_2_bottles\9162738_01.jpg"
"92513963","2023 TSUKUBA ROUGE","https://twinpeaks.buyshop.jp/items/92513963","1","https://baseec-img-mng.akamaized.net/images/item/origin/564881775638eefa4fd9cdf3f2f697b7.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\92513963_2023_TSUKUBA_ROUGE\92513963_01.jpg"
"93880340","2023 Twin Peaks Marselan Premium","https://twinpeaks.buyshop.jp/items/93880340","1","https://baseec-img-mng.akamaized.net/images/item/origin/9664c9d4dff258260dce8593a7616019.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\93880340_2023_Twin_Peaks_Marselan_Premium\93880340_01.jpg"
"93880340","2023 Twin Peaks Marselan Premium","https://twinpeaks.buyshop.jp/items/93880340","2","https://baseec-img-mng.akamaized.net/images/item/origin/e23f51b18c489a1ae6ac5b3fb379bf59.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\93880340_2023_Twin_Peaks_Marselan_Premium\93880340_02.jpg"
"93880821","2023 TWIN PEAKS ROUGE","https://twinpeaks.buyshop.jp/items/93880821","1","https://baseec-img-mng.akamaized.net/images/item/origin/7e020297545609c951f39bc3ea2c3843.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\93880821_2023_TWIN_PEAKS_ROUGE\93880821_01.jpg"
"93880821","2023 TWIN PEAKS ROUGE","https://twinpeaks.buyshop.jp/items/93880821","2","https://baseec-img-mng.akamaized.net/images/item/origin/9435019c94d791c37d67b6e600f4deec.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\93880821_2023_TWIN_PEAKS_ROUGE\93880821_02.jpg"
"96313471","2023 Sparkling Muscat Bailey A","https://twinpeaks.buyshop.jp/items/96313471","1","https://baseec-img-mng.akamaized.net/images/item/origin/749757bf8f1fd09d81592dcb5327b8db.jpg?imformat=generic&q=90&im=Resize,width=640,height=640,aspect=fill,type=downsize;Crop,width=640,height=640,gravity=Center",".\product_images\96313471_2023_Sparkling_Muscat_Bailey_A\96313471_01.jpg"
